Timestamp,Which format do you prefer to read from?,Choice of pairing beverage?,Do you ever listen to music while reading?,How do you want to read paperbacks/hardcovers ?,How many books have you read during the last six months?,Do you want to connect with fellow book readers?,What genres do you enjoy reading?
3/8/2021 12:04:33,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Business, Philosophy"
3/8/2021 12:34:50,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Religion, Film and photography, Humour, Travel"
3/8/2021 13:05:00,Paperback,Coffee,"Yes, like my life",I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Humour, Romance, Travel"
3/8/2021 13:11:47,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,7,Yes,"Business, Literature, Romance, Poetry"
3/8/2021 13:49:48,Ebook,Depends upon mood and time of day,Nope,I wish I could read them without buying a lot of books,5,Yes,"Fiction, Science fiction, Film and photography, Biography, Politics, Romance, Travel"
3/8/2021 15:59:11,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,"Literature, Religion"
3/8/2021 16:05:28,Hard cover,Coffee,Nope,I want to build a library duh!,3,Yes,"Biography, Travel"
3/8/2021 16:06:06,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,6,Yes,"Fiction, Literature, History, Biography, Travel"
3/8/2021 17:23:33,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,4,Yes! no. Well maybe....,"Literature, Religion, History, Travel"
3/8/2021 17:28:18,Ebook,Coffee,Nope,I want to build a library duh!,10,Yes,"Fiction, Science fiction, Business, Philosophy, Biography, Politics, Travel"
3/8/2021 17:31:09,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,Science fiction
3/8/2021 17:35:35,Paperback,Coffee,Nope,I want to build a library duh!,10,No,"None other than those required for my coursework, Fiction, Science fiction, Business, Literature, Biography, Humour, Romance"
3/8/2021 17:37:19,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Business, Philosophy, Religion, Politics"
3/8/2021 17:39:50,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Religion, History, Romance"
3/8/2021 17:40:36,Hard cover,Alcohol,"Yes, like my life",I wish I could read them without buying a lot of books,3,No,"None other than those required for my coursework, Humour"
3/8/2021 17:42:59,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction"
3/8/2021 17:48:42,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,7,Yes! no. Well maybe....,"Fiction, Science fiction, Business, History, Film and photography, Politics, Humour, Travel"
3/8/2021 17:49:11,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,5,Yes,"Fiction, Science fiction, Philosophy, History, Travel"
3/8/2021 17:49:20,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,Science fiction
3/8/2021 17:52:00,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,3,Yes,Fiction
3/8/2021 17:52:56,Paperback,Coffee,"Yes, like my life",I want to build a library duh!,6,Yes,"Fiction, Science fiction, Literature, Philosophy, Religion, Biography, Humour"
3/8/2021 17:53:00,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, History"
3/8/2021 17:56:57,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Politics"
3/8/2021 17:57:17,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,2,Yes,"Business, Literature, History, Biography, Politics"
3/8/2021 17:58:20,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes,Business
3/8/2021 17:58:32,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Business, Philosophy, History, Politics, Romance, Travel"
3/8/2021 18:01:28,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes,"Fiction, Science fiction, Religion, History, Biography"
3/8/2021 18:01:49,Hard cover,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,2,No,"Fiction, Science fiction, Economics"
3/8/2021 18:02:17,Audiobook,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Business, History, Film and photography, Biography, Romance, Travel"
3/8/2021 18:06:37,Hard cover,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes,"Fiction, History, Film and photography, Politics, Romance"
3/8/2021 18:08:41,Audiobook,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,"Business, Politics, Travel, Autobiography "
3/8/2021 18:09:16,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction"
3/8/2021 18:12:08,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Business, Religion, Humour, Romance"
3/8/2021 18:13:14,Ebook,Alcohol,Nope,I wish I could read them without buying a lot of books,3,No,"Science fiction, History"
3/8/2021 18:13:23,Paperback,Tea,Nope,I wish I could read them without buying a lot of books,7,No,"Business, Tech Stuff"
3/8/2021 18:16:48,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,2,No,"Humour, Travel, Something else"
3/8/2021 18:16:50,Hard cover,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Philosophy, History, Biography, Romance, Something else"
3/8/2021 18:17:24,Paperback,Coffee,Nope,I want to build a library duh!,2,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Philosophy, History, Biography, Romance"
3/8/2021 18:20:43,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Science fiction, Humour, Travel"
3/8/2021 18:20:45,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Science fiction, Business, Philosophy"
3/8/2021 18:20:50,Hard cover,Coffee,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,"Business, Philosophy, Humour"
3/8/2021 18:22:10,Audiobook,Tea,Nope,I wish I could read them without buying a lot of books,1,No,History
3/8/2021 18:23:04,Hard cover,I do not drink but I know things,Nope,I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, History, Humour"
3/8/2021 18:25:56,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,1,Yes,"Fiction, Science fiction, Philosophy, Religion"
3/8/2021 18:29:15,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes,"Fiction, Business, Philosophy, Biography, Humour, Romance"
3/8/2021 18:30:58,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,10,Yes,"Business, Philosophy, History"
3/8/2021 18:36:45,Hard cover,Coffee,Nope,I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Science fiction, Business"
3/8/2021 18:38:16,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Philosophy, History"
3/8/2021 18:41:00,Paperback,Juice,Nope,I wish I could read them without buying a lot of books,2,Yes! no. Well maybe....,Mystery and thriller
3/8/2021 18:41:31,Paperback,I drink but not with books,Nope,I want to build a library duh!,4,Yes,Fiction
3/8/2021 18:42:26,Paperback,Coffee,Nope,I want to build a library duh!,3,Yes,"Business, History, Biography, Politics, Humour, Romance, Travel, Something else"
3/8/2021 18:42:47,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,"Fiction, Science fiction, Biography"
3/8/2021 18:54:12,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,No,"Religion, Film and photography, Biography, Travel"
3/8/2021 19:07:31,Audiobook,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Science fiction, Biography"
3/8/2021 19:11:56,Hard cover,Tea,Nope,I want to build a library duh!,3,Yes,"Philosophy, Religion, History, Politics"
3/8/2021 19:28:50,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Business, Biography, Romance"
3/8/2021 19:45:32,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,3,Yes,"Biography, Non Fiction, Self development, Science"
3/8/2021 19:51:03,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Romance"
3/8/2021 19:55:15,Ebook,Coffee,Nope,I want to build a library duh!,10,Yes,"Fiction, Science fiction, Business, Literature, History, Humour, Romance"
3/8/2021 19:58:50,Paperback,Tea,Nope,I want to build a library duh!,2,Yes,"Literature, Philosophy, History"
3/8/2021 20:00:09,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,No,"Science fiction, Business"
3/8/2021 20:04:12,Hard cover,Tea,Nope,I want to build a library duh!,3,Yes,Business
3/8/2021 20:05:57,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Humour, Romance"
3/8/2021 20:12:09,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,2,Yes,Science fiction
3/8/2021 20:14:53,Paperback,Tea,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,"Fiction, Literature, Humour, Romance"
3/8/2021 20:18:17,Paperback,Coffee,Nope,I want to build a library duh!,7,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Romance, Something else"
3/8/2021 20:28:01,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,"Science fiction, Business, History, Biography"
3/8/2021 20:28:30,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"None other than those required for my coursework, Fiction, Science fiction, Humour"
