,State,PRIMARY_TOTAL,UPPER_PRIMARY_TOTAL,SECONDARY_TOTAL,HRSECONDARY_TOTAL,Labels
0,A & N Islands,0.8,1.143333333,7.543333333,15.64666667,3
1,Andhra Pradesh,4.75,4.113333333,13.69333333,4.046666667,0
2,Arunachal  Pradesh,12.29,6.59,14.84333333,13.53333333,5
3,Assam,9.68,8.253333333,28.08666667,3.976666667,2
4,Bihar,0.696666667,2.353333333,27.12333333,0,1
5,Chandigarh,0,0.54,0,11.82666667,3
6,Chhattisgarh,2.823333333,5.023333333,19.84333333,0.92,4
7,Dadra & Nagar Haveli,1.013333333,3.843333333,23.25666667,8.453333333,5
8,Daman & Diu,0.653333333,2.223333333,21.21666667,17.2,5
9,Delhi,0,1.18,8.676666667,16.01333333,3
10,Goa,0.31,0.023333333,9.563333333,12.84333333,3
11,Gujarat,0.796666667,5.72,20.06666667,5.11,5
12,Haryana,2.436666667,2.94,12.46,2.643333333,0
13,Himachal Pradesh,0.516666667,0.72,7.843333333,7.833333333,3
14,Jammu & Kashmir,6.183333333,5.086666667,16.65666667,10.31666667,5
15,Jharkhand,6.366666667,7.293333333,21.88333333,1.136666667,2
16,Karnataka,2.436666667,3.803333333,31.22333333,5.763333333,1
17,Kerala,0,0,12.07666667,2.29,0
18,Lakshadweep,0.833333333,1.643333333,7.49,4.176666667,0
19,Madhya  Pradesh,7.613333333,9.81,21.62333333,0.516666667,2
20,Maharashtra,0.926666667,1.38,14.51333333,2.79,0
21,Manipur,12.50666667,5.76,12.64666667,3.71,4
22,Meghalaya,9.98,7.07,23.76666667,0,2
23,Mizoram,15.72333333,10.02666667,20.66666667,2.303333333,2
24,Nagaland,10.69666667,11.87,26.61666667,13.15,2
25,Odisha,3.12,3.473333333,42.96666667,0,1
26,Puducherry,0.456666667,0.613333333,13.88,6.97,0
27,Punjab,2.11,2.95,9.163333333,6.64,0
28,Rajasthan,7.126666667,4.506666667,15.3,0,4
29,Sikkim,3.48,3.286666667,12.67,10.92333333,5
30,Tamil  Nadu,1.506666667,1.92,10.16666667,3.24,0
31,Telangana,3.37,3.363333333,19.48666667,7.69,5
32,Tripura,5.046666667,1.923333333,17.83666667,6.013333333,5
33,Uttar Pradesh,5.606666667,1.12,9.066666667,1.23,0
34,Uttarakhand,4.47,2.683333333,12.13333333,3.713333333,0
35,West Bengal,3.016666667,3.913333333,16.89333333,5.336666667,5
