,State,Primary_Total,Upper_Primary_Total,Secondary_Total,Higher_Secondary_Total,Labels
0,Andaman & Nicobar Islands,100.21666666666665,91.12666666666667,78.38666666666667,54.0,2
1,Andhra Pradesh,91.26,87.86333333333334,93.24333333333334,90.0,0
2,Arunachal Pradesh,89.81,81.45666666666666,74.37,57.0,2
3,Assam,127.78333333333335,122.2,89.3,64.66666666666667,4
4,Bihar,111.5,94.01333333333334,74.52666666666667,34.333333333333336,3
5,Chandigarh,102.24000000000001,97.73333333333333,69.17999999999999,29.666666666666668,3
6,Chhattisgarh,86.8,98.37666666666667,89.66333333333334,88.0,0
7,Dadra & Nagar Haveli,102.36333333333333,101.42666666666668,97.24666666666667,58.0,5
8,Daman & Diu,83.49666666666667,93.36333333333334,86.76666666666665,41.333333333333336,2
9,Delhi,85.39666666666666,83.28,73.89999999999999,34.0,2
10,Goa,111.04333333333334,125.42333333333333,104.25666666666666,89.33333333333333,1
11,Gujarat,103.89333333333332,101.56333333333333,108.14999999999999,74.0,0
12,Haryana,99.03000000000002,93.38333333333333,74.32333333333334,45.0,3
13,Himachal Pradesh,95.79,94.19666666666667,84.89333333333333,64.33333333333333,0
14,Jammu And Kashmir,99.57333333333334,103.08,114.42,97.0,6
15,Jharkhand,85.61666666666667,71.17333333333333,66.35666666666667,56.0,2
16,Karnataka,109.28333333333335,99.31666666666668,71.88333333333334,46.333333333333336,3
17,Kerala,101.93333333333334,92.78666666666668,80.83666666666666,29.666666666666668,3
18,Lakshadweep,95.32333333333334,96.87333333333333,102.73,80.0,0
19,Madhya Pradesh,76.94666666666666,90.10333333333334,118.09333333333332,92.33333333333333,6
20,Maharashtra,102.35666666666667,97.10666666666667,81.33999999999999,44.666666666666664,3
21,Manipur,98.83333333333333,98.25,88.28000000000002,62.333333333333336,5
22,Meghalaya,138.12333333333333,120.65666666666665,89.33,64.66666666666667,4
23,Mizoram,138.21666666666667,122.96333333333332,80.37333333333333,33.666666666666664,4
24,Nagaland,123.87,126.77666666666666,107.92999999999999,58.666666666666664,4
25,Odisha,106.28333333333335,100.87666666666667,68.13000000000001,33.666666666666664,3
26,Pondicherry,105.03333333333335,90.19666666666667,77.15333333333334,36.0,3
27,Punjab,88.41333333333334,90.76666666666667,95.20666666666666,72.33333333333333,0
28,Rajasthan,104.14,96.83,86.34666666666665,70.0,0
29,Sikkim,100.2,87.23666666666668,76.96666666666667,56.0,2
30,Tamil Nadu,113.28666666666668,143.37,109.80333333333334,66.0,1
31,Telangana,103.18666666666667,95.62666666666667,92.77,78.0,0
32,Tripura,106.63333333333333,98.11000000000001,93.93,53.0,5
33,Uttar Pradesh,104.78333333333335,107.22666666666667,101.74666666666667,49.0,5
34,Uttaranchal,95.48,78.83666666666666,73.75333333333334,66.0,2
35,West Bengal,101.71333333333332,90.56333333333333,84.45,68.0,0
