,State_UT,Drinking water,Electricity,Computer,Boys toilet,Girls toilet,Labels
0,Andaman & Nicobar Islands,98.69,88.86,53.06,94.52,93.44,2
1,Andhra Pradesh,90.35,90.34,29.57,56.88,81.31,2
2,Arunachal Pradesh,79.79,36.35,24.28,48.73,76.9,1
3,Assam,80.3,19.39,8.85,60.17,75.28,1
4,Bihar,92.53,9.96,5.47,73.42,75.41,1
5,Chandigarh,100.0,100.0,95.83,100.0,100.0,0
6,Chhattisgarh,95.47,57.28,9.8,82.85,94.1,1
7,Dadra & Nagar Haveli,100.0,96.79,38.19,85.53,94.36,2
8,Daman & Diu,100.0,100.0,61.11,100.0,100.0,2
9,Delhi,100.0,100.0,81.56,100.0,100.0,0
10,Goa,98.61,98.17,40.63,87.07,98.31,2
11,Gujarat,99.97,99.72,72.08,97.77,99.78,0
12,Haryana,99.87,98.89,44.12,96.53,98.1,2
13,Himachal Pradesh,99.06,94.9,22.49,94.48,97.32,2
14,Jammu And Kashmir,89.95,23.47,16.73,69.56,76.69,1
15,Jharkhand,91.35,16.35,8.94,85.67,87.68,1
16,Karnataka,99.54,96.78,35.01,99.65,99.88,2
17,Kerala,99.4,96.08,92.63,96.85,97.39,0
18,Lakshadweep,100.0,100.0,100.0,100.0,100.0,0
19,Madhya Pradesh,96.13,28.27,13.03,92.64,93.02,1
20,Maharashtra,99.31,92.75,52.79,98.3,98.46,2
21,Manipur,89.09,30.97,25.57,95.3,98.17,1
22,Meghalaya,61.76,24.49,8.98,53.71,50.95,1
23,Mizoram,93.39,73.79,27.76,73.27,99.62,2
24,Nagaland,72.33,39.06,34.96,87.88,97.08,1
25,Odisha,96.85,27.88,10.58,76.61,86.0,1
26,Puducherry,100.0,100.0,97.62,99.85,100.0,0
27,Punjab,99.77,99.86,51.97,97.04,97.81,2
28,Rajasthan,96.31,52.06,23.47,96.03,97.87,1
29,Sikkim,97.18,69.3,53.33,97.01,99.25,2
30,Tamil Nadu,100.0,97.69,54.14,90.93,96.91,2
31,Telangana,93.6,91.05,37.9,73.39,92.1,2
32,Tripura,88.98,28.58,15.11,99.44,99.88,1
33,Uttar Pradesh,98.57,53.59,12.72,98.5,98.72,1
34,Uttarakhand,95.14,76.95,32.97,96.46,95.97,2
35,West Bengal,97.93,56.96,12.13,89.93,92.42,1
