,0,1,2,3,4,5,6,7,8,9,10
0,IndiGo,24-03-19,Bangalore,New Delhi,BLR ? DEL,22:20,22-03-21 1:10,2h 50m,1,No info,3897
1,SpiceJet,24-06-19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,3873
2,IndiGo,18-04-19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4174
3,Air India,24-06-19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
4,IndiGo,24-04-19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4804
5,IndiGo,03-04-19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
6,IndiGo,01-05-19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,4823
7,Vistara,18-06-19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,4668
8,Vistara,15-06-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
9,Vistara,18-06-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
10,IndiGo,06-04-19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,4423
11,Air India,18-05-19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,6245
12,Air Asia,06-05-19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
13,SpiceJet,24-03-19,Bangalore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,1,No check-in baggage included,3527
14,IndiGo,27-05-19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
15,Air India,03-05-19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
16,Jet Airways,09-03-19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,In-flight meal not included,7202
17,IndiGo,24-03-19,Bangalore,New Delhi,BLR ? DEL,22:20,28-03-21 1:10,2h 50m,1,No info,4377
18,IndiGo,18-06-19,Bangalore,New Delhi,BLR ? DEL,21:15,19-06-21 0:15,3h,1,No info,3943
19,Air Asia,03-04-19,Bangalore,New Delhi,BLR ? DEL,23:55,04-04-21 2:45,2h 50m,1,No info,4483
20,Vistara,06-03-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,7414
21,Vistara,24-05-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
22,Vistara,24-04-19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,5403
23,Air India,06-05-19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,3625
24,IndiGo,12-03-19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,6297
25,Jet Airways,01-06-19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,No info,5678
26,Vistara,09-03-19,Bangalore,New Delhi,BLR ? DEL,9:50,12:35,2h 45m,1,No info,7240
27,GoAir,03-04-19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3898
28,IndiGo,03-04-19,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,1,No info,4049
29,SpiceJet,21-03-19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3332
30,Jet Airways,24-03-19,Bangalore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,1,No info,7229
31,Air India,21-04-19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4880
32,IndiGo,21-06-19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
33,SpiceJet,15-05-19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No check-in baggage included,3257
34,Jet Airways,03-06-19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,In-flight meal not included,6478
35,Jet Airways,18-06-19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,No info,8040
36,Air India,01-05-19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,6121
37,IndiGo,12-04-19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,5780
38,Vistara,12-06-19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
39,SpiceJet,09-04-19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,3971
40,Air India,03-05-19,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,1,No info,3100
41,IndiGo,12-05-19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
42,IndiGo,24-06-19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
43,IndiGo,03-06-19,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,1,No info,3597
44,Vistara,12-05-19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,6216
45,IndiGo,15-06-19,Kolkata,Bangalore,CCU ? BLR,20:25,23:10,2h 45m,1,No info,4804
46,Jet Airways,24-05-19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,4030
47,SpiceJet,03-04-19,Kolkata,Bangalore,CCU ? BLR,22:20,04-04-21 0:40,2h 20m,1,No info,3873
48,GoAir,27-06-19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3898
49,IndiGo,03-03-19,Bangalore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,1,No info,8855
50,IndiGo,24-03-19,Bangalore,New Delhi,BLR ? DEL,0:40,3:25,2h 45m,1,No info,4777
51,Air India,03-03-19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,6092
52,SpiceJet,21-05-19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,3311
53,IndiGo,27-05-19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,3419
54,Air India,18-04-19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,8246
55,Jet Airways,27-03-19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,No info,5678
56,IndiGo,12-05-19,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,1,No info,3858
57,IndiGo,03-06-19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4804
58,Air Asia,12-06-19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
59,Jet Airways,27-06-19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,No info,8016
60,SpiceJet,27-06-19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
61,Air India,18-03-19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,4441
62,Air India,03-06-19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,6961
63,IndiGo,24-04-19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,5013
64,Air India,18-05-19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,6934
65,Jet Airways,18-04-19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
66,Vistara,27-06-19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
67,IndiGo,12-05-19,Bangalore,New Delhi,BLR ? DEL,0:30,3:25,2h 55m,1,No info,3943
68,Jet Airways,24-06-19,Mumbai,Hyderabad,BOM ? HYD,8:45,10:15,1h 30m,1,In-flight meal not included,4995
69,IndiGo,01-06-19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,4077
70,Jet Airways,12-05-19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
71,Air India,12-04-19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5911
72,Jet Airways,18-03-19,Mumbai,Hyderabad,BOM ? HYD,7:10,8:35,1h 25m,1,In-flight meal not included,4995
73,IndiGo,27-04-19,Bangalore,New Delhi,BLR ? DEL,23:30,28-04-21 2:20,2h 50m,1,No info,3943
74,SpiceJet,21-05-19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No check-in baggage included,1965
75,Jet Airways,27-05-19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,In-flight meal not included,4995
76,Air India,12-04-19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4460
77,Air Asia,01-05-19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,4409
78,IndiGo,15-03-19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,8855
79,SpiceJet,12-06-19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
80,Vistara,18-03-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,4842
81,IndiGo,24-04-19,Bangalore,New Delhi,BLR ? DEL,23:30,25-04-21 2:20,2h 50m,1,No info,3943
82,Vistara,27-06-19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,11982
83,Vistara,03-03-19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,1,No info,8001
84,SpiceJet,21-03-19,Mumbai,Hyderabad,BOM ? HYD,13:10,14:30,1h 20m,1,No info,3173
85,Air India,09-05-19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5228
86,Jet Airways,21-06-19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,5769
87,IndiGo,03-06-19,Bangalore,New Delhi,BLR ? DEL,22:10,04-06-21 1:00,2h 50m,1,No info,3359
88,GoAir,03-03-19,Bangalore,New Delhi,BLR ? DEL,20:55,23:50,2h 55m,1,No info,6722
89,IndiGo,18-03-19,Kolkata,Bangalore,CCU ? BLR,9:35,12:20,2h 45m,1,No info,4462
90,Air India,01-03-19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,19630
91,IndiGo,15-03-19,Mumbai,Hyderabad,BOM ? HYD,21:20,22:45,1h 25m,1,No info,2754
92,Air India,27-03-19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:40,1h 20m,1,No info,2575
93,IndiGo,24-06-19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,5000
94,Jet Airways,24-05-19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,In-flight meal not included,4030
95,IndiGo,06-05-19,Kolkata,Bangalore,CCU ? BLR,21:25,07-05-21 0:05,2h 40m,1,No info,4804
96,IndiGo,12-05-19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,1,No info,4823
97,SpiceJet,06-03-19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:05,1h 20m,1,No info,4129
98,IndiGo,18-05-19,Kolkata,Bangalore,CCU ? BLR,21:25,19-05-21 0:05,2h 40m,1,No info,4804
99,Jet Airways,06-05-19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
100,SpiceJet,18-03-19,Chennai,Kolkata,MAA ? CCU,9:30,12:05,2h 35m,1,No info,3859
101,Vistara,09-05-19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
102,IndiGo,03-05-19,Mumbai,Hyderabad,BOM ? HYD,2:35,4:05,1h 30m,1,No info,2754
103,Vistara,27-06-19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
104,Air Asia,12-05-19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,5216
105,SpiceJet,24-04-19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,4174
106,IndiGo,06-03-19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,7295
107,SpiceJet,21-05-19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No check-in baggage included,3543
108,IndiGo,15-03-19,Kolkata,Bangalore,CCU ? BLR,15:20,17:55,2h 35m,1,No info,4148
109,Jet Airways,27-06-19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,8016
110,SpiceJet,15-06-19,Kolkata,Bangalore,CCU ? BLR,14:55,17:25,2h 30m,1,No check-in baggage included,3841
111,IndiGo,24-03-19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,7303
112,GoAir,09-04-19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,4239
113,IndiGo,12-03-19,Kolkata,Bangalore,CCU ? BLR,20:25,23:05,2h 40m,1,No info,4148
114,SpiceJet,24-05-19,Bangalore,New Delhi,BLR ? DEL,21:10,25-05-21 0:05,2h 55m,1,No info,3971
115,Air India,18-06-19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,5201
116,Jet Airways,15-06-19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,In-flight meal not included,7229
