Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,06/21/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
Multiple carriers,06/12/19,New Delhi,Cochin,DEL ? BOM ? COK,14:00,13-06-21 1:30,11h 30m,1 stop,No info,13377
Jet Airways,06/27/19,New Delhi,Cochin,DEL ? ATQ ? BOM ? COK,18:20,28-06-21 12:35,18h 15m,2 stops,No info,14300
IndiGo,05/09/19,Kolkata,Bangalore,CCU ? BBI ? BLR,7:10,12:40,5h 30m,1 stop,No info,4864
Air India,06/06/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,3100
Air India,03/01/19,Bangalore,New Delhi,BLR ? BOM ? NAG ? DEL,8:50,02/03/21 10:35,25h 45m,2 stops,No info,31783
IndiGo,04/09/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,10/04/21 1:30,9h 30m,1 stop,No info,6573
Jet Airways,03/15/19,Bangalore,New Delhi,BLR ? BOM ? DEL,5:45,13:15,7h 30m,1 stop,In-flight meal not included,9134
IndiGo,04/06/19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,non-stop,No info,4174
Air India,06/27/19,New Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,7174
Multiple carriers,06/15/19,New Delhi,Cochin,DEL ? BOM ? COK,7:05,21:00,13h 55m,1 stop,No info,13587
SpiceJet,05/09/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,3597
SpiceJet,05/18/19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,non-stop,No info,2227
Jet Airways,06/15/19,New Delhi,Cochin,DEL ? IDR ? BOM ? COK,9:35,16-06-21 4:25,18h 50m,2 stops,In-flight meal not included,11507
Jet Airways,05/06/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,07/05/21 4:40,9h 45m,1 stop,No info,13941
Jet Airways,04/03/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678
IndiGo,06/21/19,Bangalore,New Delhi,BLR ? DEL,13:00,15:50,2h 50m,non-stop,No info,3943
IndiGo,04/09/19,Kolkata,Bangalore,CCU ? BBI ? BLR,19:55,23:50,3h 55m,1 stop,No info,4226
Multiple carriers,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,7531
Jet Airways,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,16:30,22:35,6h 5m,1 stop,In-flight meal not included,10844
IndiGo,05/18/19,New Delhi,Cochin,DEL ? BOM ? COK,17:10,19-05-21 1:30,8h 20m,1 stop,No info,7081
Multiple carriers,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,11:30,22-03-21 1:35,14h 5m,1 stop,No info,13542
Jet Airways,05/18/19,Kolkata,Bangalore,CCU ? BOM ? BLR,5:45,18:15,12h 30m,1 stop,No info,14781
Air India,06/06/19,New Delhi,Cochin,DEL ? BHO ? BOM ? COK,5:55,19:15,13h 20m,2 stops,No info,10861
Air India,05/18/19,New Delhi,Cochin,DEL ? BLR ? COK,9:45,23:00,13h 15m,1 stop,No info,8907
Multiple carriers,06/03/19,New Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,9001
Multiple carriers,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,9:00,19:15,10h 15m,1 stop,In-flight meal not included,10197
Air India,03/27/19,New Delhi,Cochin,DEL ? HYD ? MAA ? COK,9:45,28-03-21 9:25,23h 40m,2 stops,No info,7090
Jet Airways,06/06/19,Kolkata,Bangalore,CCU ? BOM ? BLR,6:30,23:35,17h 5m,1 stop,No info,14571
Jet Airways,05/27/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,29-05-21 4:25,29h 20m,2 stops,No info,16704
SpiceJet,06/24/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
GoAir,06/01/19,New Delhi,Cochin,DEL ? BOM ? COK,7:00,12:55,5h 55m,1 stop,No info,5457
Jet Airways,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,17:30,22-03-21 4:25,10h 55m,1 stop,In-flight meal not included,5963
Jet Airways,04/21/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,4544
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,10/05/21 19:00,29h 35m,2 stops,No info,15129
Air India,06/03/19,New Delhi,Cochin,DEL ? LKO ? BOM ? COK,7:10,19:15,12h 5m,2 stops,No info,12698
Air India,04/06/19,New Delhi,Cochin,DEL ? MAA ? COK,20:40,07/04/21 9:25,12h 45m,1 stop,No info,5117
Jet Airways,05/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,20:00,25-05-21 23:35,27h 35m,1 stop,In-flight meal not included,10844
SpiceJet,04/09/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
Jet Airways,03/06/19,Bangalore,New Delhi,BLR ? BOM ? DEL,20:35,07/03/21 7:40,11h 5m,1 stop,No info,16736
SpiceJet,04/01/19,New Delhi,Cochin,DEL ? MAA ? COK,6:05,11:20,5h 15m,1 stop,No info,5351
SpiceJet,04/27/19,New Delhi,Cochin,DEL ? BLR ? COK,17:55,22:50,4h 55m,1 stop,No info,4957
IndiGo,06/01/19,Bangalore,New Delhi,BLR ? DEL,23:30,02/06/21 2:20,2h 50m,non-stop,No info,4591
Vistara,05/18/19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,non-stop,No info,6741
IndiGo,06/09/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,5224
Jet Airways,04/01/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544
GoAir,04/27/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,3898
IndiGo,03/27/19,New Delhi,Cochin,DEL ? HYD ? MAA ? COK,4:55,21:20,16h 25m,2 stops,No info,6223
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,9:40,10/05/21 12:35,26h 55m,2 stops,In-flight meal not included,13029
Jet Airways,05/12/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,13-05-21 22:05,29h 5m,1 stop,No info,13067
