Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,03/27/19,New Delhi,Cochin,DEL ? BOM ? COK,11:30,18:50,7h 20m,1 stop,No info,11200
Jet Airways,03/01/19,Bangalore,New Delhi,BLR ? BOM ? DEL,8:00,13:15,5h 15m,1 stop,No info,22270
Air India,04/09/19,Kolkata,Bangalore,CCU ? HYD ? BLR,19:00,10/04/21 11:05,16h 5m,1 stop,No info,4647
Air India,05/27/19,New Delhi,Cochin,DEL ? LKO ? BOM ? COK,7:10,28-05-21 7:40,24h 30m,2 stops,No info,14588
Multiple carriers,03/09/19,New Delhi,Cochin,DEL ? HYD ? COK,7:05,22:20,15h 15m,1 stop,No info,6916
Air India,03/09/19,New Delhi,Cochin,DEL ? CCU ? BOM ? COK,16:55,10/03/21 19:15,26h 20m,2 stops,No info,22096
IndiGo,05/09/19,New Delhi,Cochin,DEL ? PNQ ? COK,23:30,10/05/21 4:35,5h 5m,1 stop,No info,8177
Jet Airways,06/21/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,No info,9564
Air India,05/15/19,Kolkata,Bangalore,CCU ? GAU ? BLR,16:45,16-05-21 21:05,28h 20m,1 stop,No info,7452
Air India,05/15/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,5228
Air Asia,05/21/19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383
Jet Airways,05/21/19,Kolkata,Bangalore,CCU ? BOM ? BLR,6:30,22-05-21 9:20,26h 50m,1 stop,In-flight meal not included,9663
Jet Airways,06/06/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,07/06/21 4:25,18h 25m,1 stop,No info,14714
Multiple carriers,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,19:00,22-05-21 1:30,6h 30m,1 stop,No info,7888
Air India,03/21/19,New Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,22-03-21 19:15,26h,2 stops,No info,8245
IndiGo,04/15/19,Kolkata,Bangalore,CCU ? BBI ? BLR,19:35,23:15,3h 40m,1 stop,No info,4226
Jet Airways,05/01/19,Kolkata,Bangalore,CCU ? DEL ? BLR,9:35,19:10,9h 35m,1 stop,No info,11467
Jet Airways,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,21:50,07/03/21 4:25,6h 35m,1 stop,In-flight meal not included,13843
IndiGo,05/21/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,non-stop,No info,4049
Jet Airways,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,22:00,22-03-21 4:25,6h 25m,1 stop,No info,12242
Jet Airways,06/01/19,New Delhi,Cochin,DEL ? BOM ? COK,18:15,02/06/21 19:00,24h 45m,1 stop,No info,14714
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,non-stop,No info,4238
Jet Airways,03/09/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,10/03/21 18:50,26h 50m,1 stop,In-flight meal not included,14053
Air India,03/18/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,4441
Vistara,06/27/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,non-stop,No info,4878
Multiple carriers,06/01/19,New Delhi,Cochin,DEL ? HYD ? COK,7:10,16:10,9h,1 stop,No info,7038
Jet Airways,05/09/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,3702
SpiceJet,03/27/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:30,2h 30m,non-stop,No info,3847
Vistara,06/06/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,3687
Air India,03/27/19,New Delhi,Cochin,DEL ? MAA ? COK,6:05,28-03-21 9:25,27h 20m,1 stop,No info,5117
Air India,03/09/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,10/03/21 19:15,26h 35m,2 stops,No info,11911
Jet Airways,06/27/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,non-stop,No info,8040
Multiple carriers,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,7:00,21:00,14h,1 stop,No info,7618
IndiGo,03/03/19,New Delhi,Cochin,DEL ? HYD ? COK,16:10,22:20,6h 10m,1 stop,No info,11237
Jet Airways,06/27/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,28-06-21 12:35,13h 30m,2 stops,In-flight meal not included,11150
Jet Airways,04/24/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,7229
Jet Airways,06/15/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,In-flight meal not included,10262
Air India,05/24/19,Kolkata,Bangalore,CCU ? IXR ? DEL ? BLR,5:50,25-05-21 8:55,27h 5m,2 stops,No info,12723
Jet Airways,03/06/19,Bangalore,New Delhi,BLR ? BOM ? DEL,16:55,07/03/21 8:15,15h 20m,1 stop,No info,16736
Jet Airways,05/06/19,Kolkata,Bangalore,CCU ? BOM ? BLR,20:00,07/05/21 12:00,16h,1 stop,No info,14388
Jet Airways,06/12/19,New Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,13-06-21 12:35,22h,2 stops,In-flight meal not included,10919
Air India,06/24/19,New Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,25-06-21 19:15,26h,2 stops,No info,11989
Jet Airways,03/27/19,New Delhi,Cochin,DEL ? BOM ? COK,21:50,28-03-21 4:25,6h 35m,1 stop,In-flight meal not included,6017
Jet Airways,03/09/19,New Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:10,10/03/21 4:25,8h 15m,2 stops,No info,20904
SpiceJet,03/06/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:30,2h 30m,non-stop,No info,4096
IndiGo,05/27/19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,non-stop,No info,2754
SpiceJet,03/15/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,6300
Jet Airways,05/06/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,07/05/21 22:05,29h 5m,1 stop,No info,11467
Air India,03/06/19,Bangalore,New Delhi,BLR ? BOM ? DEL,6:45,12:15,5h 30m,1 stop,No info,13912
SpiceJet,06/18/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No info,3873
Jet Airways,03/27/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,29-03-21 4:25,33h 15m,2 stops,No info,10929
Jet Airways,03/21/19,New Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,23-03-21 4:25,34h,2 stops,No info,12347
IndiGo,05/09/19,Kolkata,Bangalore,CCU ? MAA ? BLR,6:20,10:20,4h,1 stop,No info,4226
Air Asia,06/15/19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,non-stop,No info,4107
IndiGo,06/27/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,21:00,5h,1 stop,No info,6069
Vistara,06/24/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,non-stop,No info,4668
Multiple carriers,05/15/19,New Delhi,Cochin,DEL ? BOM ? COK,4:55,12:35,7h 40m,1 stop,No info,9103
Air Asia,06/12/19,New Delhi,Cochin,DEL ? BLR ? COK,7:55,22:25,14h 30m,1 stop,No info,6152
IndiGo,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,20:25,25-06-21 1:30,5h 5m,1 stop,No info,5054
SpiceJet,06/09/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
Jet Airways,05/06/19,Kolkata,Bangalore,CCU ? BOM ? BLR,20:00,07/05/21 8:15,12h 15m,1 stop,No info,14388
Air India,03/27/19,New Delhi,Cochin,DEL ? HYD ? BOM ? COK,21:30,28-03-21 19:15,21h 45m,2 stops,No info,8665
Multiple carriers,06/15/19,New Delhi,Cochin,DEL ? BOM ? COK,8:45,21:00,12h 15m,1 stop,No info,7005
Air India,05/01/19,Kolkata,Bangalore,CCU ? BOM ? COK ? BLR,9:25,02/05/21 13:45,28h 20m,2 stops,No info,15532
Trujet,03/06/19,Mumbai,Hyderabad,BOM ? NDC ? HYD,13:05,16:20,3h 15m,1 stop,No info,4140
Multiple carriers,05/15/19,New Delhi,Cochin,DEL ? BOM ? COK,13:00,16-05-21 1:30,12h 30m,1 stop,No info,13727
Vistara,03/09/19,Bangalore,New Delhi,BLR ? DEL,19:40,22:20,2h 40m,non-stop,No info,8290
Jet Airways,03/27/19,New Delhi,Cochin,DEL ? IDR ? BOM ? COK,5:25,18:50,13h 25m,2 stops,In-flight meal not included,9254
Air India,04/24/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,5228
Air India,05/09/19,New Delhi,Cochin,DEL ? BLR ? COK,9:45,23:00,13h 15m,1 stop,No info,7174
Jet Airways,03/06/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,07/03/21 19:45,38h 15m,2 stops,In-flight meal not included,15864
Jet Airways,06/09/19,New Delhi,Cochin,DEL ? BOM ? COK,22:50,10/06/21 4:25,5h 35m,1 stop,No info,14714
Jet Airways,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262
Jet Airways,06/18/19,New Delhi,Cochin,DEL ? COK,9:50,13:05,3h 15m,non-stop,No info,9564
IndiGo,06/01/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,non-stop,No info,3597
Jet Airways,06/09/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
IndiGo,05/09/19,New Delhi,Cochin,DEL ? MAA ? COK,7:15,12:30,5h 15m,1 stop,No info,5636
Jet Airways,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,07/03/21 4:25,12h 25m,1 stop,No info,15764
Air India,05/12/19,Kolkata,Bangalore,CCU ? BBI ? BOM ? BLR,12:00,21:50,9h 50m,2 stops,No info,10676
Jet Airways,03/09/19,New Delhi,Cochin,DEL ? BOM ? COK,15:05,10/03/21 18:50,27h 45m,1 stop,No info,16289
Multiple carriers,06/27/19,New Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,7155
Jet Airways,06/01/19,New Delhi,Cochin,DEL ? BOM ? COK,17:30,02/06/21 12:35,19h 5m,1 stop,In-flight meal not included,10262
Vistara,03/21/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,non-stop,No info,5403
Vistara,05/21/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,22-05-21 10:45,17h 45m,1 stop,No info,9187
IndiGo,04/27/19,Kolkata,Bangalore,CCU ? BLR,9:35,12:20,2h 45m,non-stop,No info,4804
Jet Airways,06/27/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,19:00,13h 30m,2 stops,In-flight meal not included,10368
